Заголовок,Описание,Ссылка,Дата публикации
ЧТО.ТЫ.ТАКОЕ?,"На днях меня уличили в человеческих признаках и в признаках бренда. Поэтому хотелось бы разложить все по полочкам, чтобы не оставалось вопросов, а я могла бы давать ссылку на этот пост, как ответ.
Человеческие признаки к сожалению из меня прут фонтаном , их …",https://pikabu.ru/story/chtotyitakoe_12354195,2025-02-08T14:43:55Z
Роспатент назвал важнейшие отечественные изобретения 2024 года,"К празднованию Дня российской науки Роспатент презентовал ряд инноваций, включая умный коленный протез и кровельное покрытие с функцией нагрева воды, которые станут значимыми изобретениями 2024 года. В субботу, в День российской науки, Роспатент представил де…",https://vz.ru/news/2025/2/8/1313568.html,2025-02-08T06:35:21Z
Прокуратура Москвы закрыла более 400 интернет-ресурсов из-за негативного влияния на детей,"В 2024 году столичная прокуратура добилась закрытия более чем 400 интернет-ресурсов, которые негативно влияли на здоровье и развитие детей. Об этом заявил прокурор Москвы Максим Жук во время расширенного заседания коллегии по итогам работы ведомства за прошед…",https://lenta.ru/news/2025/02/04/prokuratura-moskvy-zakryla-bolee-400-internet-resursov-iz-za-negativnogo-vliyaniya-na-detey/,2025-02-04T17:54:00Z
Стартовал прием заявок на Премию Альянса по защите детей в цифровой среде «За безопасное цифровое детство»,"Альянс по защите детей в цифровой среде объявляет о старте приема заявок на Премию «За безопасное цифровое детство» 2025 года. Конкурс пройдет в третий раз и продолжит поддерживать проекты, направленные на развитие безопасного и ответственного использования ц…",https://iz.ru/1833490/2025-02-04/startoval-priem-zaiavok-na-premiiu-aliansa-po-zashchite-detei-v-tcifrovoi-srede-za-bezopasnoe,2025-02-04T11:03:56Z
Школа программирования для детей 7 лет: онлайн-обучение для первоклассников,"Уроки программирования для детей 7 лет – отличная возможность приблизить их к информационным технологиям и ускорить развитие ряда значимых навыков. Каких именно и в какую школу можно записаться – рассказали в публикации.Сегодня хотим поговорить о том, чем име…",https://habr.com/ru/companies/it_dlya_detei/articles/879284/#post-content-body,2025-02-04T08:10:22Z
В Херсонской области открыли Год Защитника Отечества,"В Херсонской области торжественно открыли Год Защитника Отечества, где первый заместитель губернатора Павел Шувалкин и руководитель фонда «Защитники Отечества» Ольга Симанова вручили детям военнослужащих подарки. В пятницу в Херсонской области состоялось торж…",https://vz.ru/news/2025/2/7/1313441.html,2025-02-07T11:21:27Z
Отдых в воспитательных целях // Минпросвещения разработало единую программу для детских лагерей,"Этим летом дети будут отдыхать в лагерях по единому стандарту — его проект опубликовало Минпросвещения. Ведомство подготовило программу воспитательной работы, на основе которой организации должны формировать тематический план смен и распорядок детского дня. Д…",https://www.kommersant.ru/doc/7461797,2025-01-30T05:00:22Z
Азаров: образование на Украине рассчитано на воспитание из детей послушных солдат,"Бывший премьер-министр страны назвал Владимира Зеленского ""малообразованным, малограмотным человеком""",https://tass.ru/mezhdunarodnaya-panorama/22982791,2025-01-27T10:51:29Z
Секретарь Генсовета «Единой России» Владимир Якушев призвал вовлекать студентов – участников СВО в воспитание детей,"Секретарь Генсовета «Единой России» Владимир Якушев предложил вовлекать студентов, участвующих в специальной военной операции, в процессы воспитания молодежи и детей страны. Секретарь Генсовета «Единой России» встретился со студентами – участниками специально…",https://vz.ru/news/2025/1/25/1310796.html,2025-01-25T13:52:58Z
Якушев: студентов - участников СВО надо вовлекать в воспитание детей,"При этом секретарь генсовета партии ""Единая Россия"" подчеркнул, что для участников СВО сейчас создано множество возможностей для развития",https://tass.ru/obschestvo/22967383,2025-01-24T15:19:09Z
